Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15,Untitled 16,Untitled 17,Untitled 18
2.47665,0.002685,0.000007,2.476652,-0.103902,1.925737,2.814164,0.001331,0.000002,2.814164,0.048765,2.837805,7.420421,0.001077,0.001077,8.43942,0.000507,0.000507,1
2.476601,0.002633,0.000007,2.476603,0.066363,2.035154,2.814192,0.00136,0.000002,2.814193,-0.140963,3.380744,7.421798,0.001296,0.001296,8.439849,0.001933,0.001933,1
2.476567,0.002733,0.000007,2.476568,0.007644,1.952605,2.814192,0.001323,0.000002,2.814193,0.037798,2.832559,7.428458,0.001611,0.001611,8.446116,0.002467,0.002467,1
2.47662,0.002597,0.000007,2.476621,-0.041495,1.899588,2.81419,0.001341,0.000002,2.81419,-0.080171,3.016853,7.437096,0.001464,0.001464,8.43865,0.002988,0.002988,1
2.476538,0.002564,0.000007,2.47654,0.064015,2.155868,2.814244,0.001285,0.000002,2.814244,0.041199,2.723826,7.421586,0.001458,0.001458,8.444998,0.003588,0.003588,1
2.476617,0.00257,0.000007,2.476618,-0.021427,2.18097,2.814153,0.001317,0.000002,2.814153,0.141941,3.381093,7.436252,0.002429,0.002429,8.441949,0.001632,0.001632,1
2.476641,0.002591,0.000007,2.476642,-0.034551,2.096123,2.814206,0.001341,0.000002,2.814206,0.128657,3.049026,7.437301,0.002456,0.002456,8.442528,0.002202,0.002202,1
2.476616,0.00259,0.000007,2.476617,0.032725,2.097112,2.814151,0.001439,0.000002,2.814151,-0.047856,2.781745,7.437283,0.002357,0.002357,8.443277,0.000967,0.000967,1
2.47646,0.002672,0.000007,2.476461,0.005695,2.212165,2.814208,0.001394,0.000002,2.814208,-0.116591,2.695243,7.442269,0.000817,0.000817,8.444822,0.001991,0.001991,1
2.476539,0.002553,0.000007,2.476541,-0.021422,2.026399,2.814191,0.001481,0.000002,2.814191,-0.020498,2.813856,7.437232,0.002159,0.002159,8.438985,0.000615,0.000615,1
2.476567,0.002633,0.000007,2.476569,-0.03531,2.181949,2.814201,0.001512,0.000002,2.814201,0.044922,3.03979,7.424797,0.006471,0.006471,8.441179,0.001594,0.001594,1
2.476632,0.002673,0.000007,2.476633,-0.032947,2.306345,2.814182,0.001788,0.000003,2.814183,0.21483,2.592905,7.434509,0.002838,0.002838,8.446546,0.004376,0.004376,1
2.476497,0.002692,0.000007,2.476499,0.113224,2.511002,2.814149,0.001632,0.000003,2.814149,0.214266,2.741054,7.421831,0.001491,0.001491,8.442363,0.005102,0.005102,1
2.476628,0.002687,0.000007,2.476629,0.071657,2.244905,2.814108,0.001779,0.000003,2.814108,-0.077654,3.029744,7.423065,0.000718,0.000718,8.442927,0.001225,0.001225,1
2.476587,0.002644,0.000007,2.476589,-0.008933,2.407121,2.814238,0.001832,0.000003,2.814239,0.133936,2.615799,7.428259,0.004842,0.004842,8.44326,0.00055,0.00055,1
2.476469,0.002902,0.000008,2.476471,0.300557,2.471,2.814189,0.001807,0.000003,2.814189,0.302215,2.800421,7.428257,0.004798,0.004798,8.436509,0.001676,0.001676,1
2.476539,0.002772,0.000008,2.476541,0.412123,2.642532,2.814148,0.001802,0.000003,2.814149,0.132057,3.01976,7.420233,0.001547,0.001547,8.443617,0.00135,0.00135,1
2.476513,0.002737,0.000007,2.476515,0.329212,2.506004,2.814204,0.001853,0.000003,2.814205,0.03281,3.036893,7.439356,0.003183,0.003183,8.444022,0.002751,0.002751,1
2.476559,0.00265,0.000007,2.47656,0.447548,2.777601,2.814241,0.001897,0.000004,2.814242,-0.061588,2.822417,7.421153,0.000583,0.000583,8.443344,0.004958,0.004958,1
2.476541,0.002666,0.000007,2.476542,0.438838,2.567326,2.814189,0.001759,0.000003,2.81419,0.007973,2.779612,7.432205,0.000957,0.000957,8.440338,0.004242,0.004242,1
2.476507,0.002742,0.000008,2.476509,0.274066,2.530061,2.814214,0.001825,0.000003,2.814214,-0.184028,3.068172,7.435016,0.000911,0.000911,8.448607,0.004163,0.004163,1
2.476624,0.002661,0.000007,2.476625,0.218093,2.409151,2.814189,0.00191,0.000004,2.814189,-0.106259,3.043397,7.431385,0.002532,0.002532,8.442696,0.001163,0.001163,1
2.476567,0.002796,0.000008,2.476569,0.393987,2.70345,2.814192,0.001828,0.000003,2.814192,-0.058228,3.050116,7.43045,0.000606,0.000606,8.446355,0.002713,0.002713,1
